origin,relationship_id,join_method,semantic_group_position,semantic_group_size,relationship_type,input_validation_status,domain,match_classification,match_reason,candidate_count,cube_name,dimension_name,hierarchy_name,attribute_name,subset_name,view_name,target_name,candidate_node_ids
TI,semantic::ti::dimupdate - sys func area hierarchy::WRITES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' sort order',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Sort Order',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Sort Order',
TI,semantic::ti::dimupdate - sys functional area hierarchy::CREATES_ATTRIBUTE::attribute::sys functional area hierarchy.hier_hid | ' description',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Functional Area Hierarchy,,HIER_HID | ' Description',,,SYS Functional Area Hierarchy.HIER_HID | ' Description',
TI,semantic::ti::dimupdate - sys functional area hierarchy::CREATES_ATTRIBUTE::attribute::sys functional area hierarchy.hier_hid | ' id',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Functional Area Hierarchy,,HIER_HID | ' ID',,,SYS Functional Area Hierarchy.HIER_HID | ' ID',
TI,semantic::ti::dimupdate - sys functional area hierarchy::CREATES_ATTRIBUTE::attribute::sys functional area hierarchy.hier_hid | ' parent',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Functional Area Hierarchy,,HIER_HID | ' Parent',,,SYS Functional Area Hierarchy.HIER_HID | ' Parent',
TI,semantic::ti::dimupdate - sys functional area hierarchy::CREATES_ATTRIBUTE::attribute::sys functional area hierarchy.hier_hid | ' sequence number',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Functional Area Hierarchy,,HIER_HID | ' Sequence Number',,,SYS Functional Area Hierarchy.HIER_HID | ' Sequence Number',
TI,"semantic::ti::dimupdate - sys functional area hierarchy::READS_ATTRIBUTE::attribute::sys functional area hierarchy.subst ( shier, 1, long(shier)-3) | ' parent'",SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Functional Area Hierarchy,,"SUBST ( sHier, 1, long(sHier)-3) | ' Parent'",,,"SYS Functional Area Hierarchy.SUBST ( sHier, 1, long(sHier)-3) | ' Parent'",
TI,semantic::ti::dimupdate - sys functional area hierarchy::WRITES_ATTRIBUTE::attribute::sys functional area hierarchy.hier_hid | ' description',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Functional Area Hierarchy,,HIER_HID | ' Description',,,SYS Functional Area Hierarchy.HIER_HID | ' Description',
TI,semantic::ti::dimupdate - sys functional area hierarchy::WRITES_ATTRIBUTE::attribute::sys functional area hierarchy.hier_hid | ' id',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Functional Area Hierarchy,,HIER_HID | ' ID',,,SYS Functional Area Hierarchy.HIER_HID | ' ID',
TI,semantic::ti::dimupdate - sys functional area hierarchy::WRITES_ATTRIBUTE::attribute::sys functional area hierarchy.hier_hid | ' parent',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Functional Area Hierarchy,,HIER_HID | ' Parent',,,SYS Functional Area Hierarchy.HIER_HID | ' Parent',
TI,semantic::ti::dimupdate - sys functional area hierarchy::WRITES_ATTRIBUTE::attribute::sys functional area hierarchy.hier_hid | ' sequence number',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Functional Area Hierarchy,,HIER_HID | ' Sequence Number',,,SYS Functional Area Hierarchy.HIER_HID | ' Sequence Number',
TI,semantic::ti::sys_dim_clone::CREATES_ATTRIBUTE::attribute::ptargetdim.sattrname,SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,pTargetDim,,sAttrName,,,pTargetDim.sAttrName,
TI,semantic::ti::sys_dim_clone::READS_ATTRIBUTE::attribute::psourcedim.sattrname,SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,pSourceDim,,sAttrName,,,pSourceDim.sAttrName,
